timestamp_ms,ai_speed_mps,speed_confidence
4217310,5.648564,0.6893644
4218309,6.3062267,0.6122073
4219310,6.0056796,0.6867945
4220311,6.0303755,0.60106045
4221310,5.4864674,0.63543963
4222310,5.299312,0.6290389
4223310,5.0705867,0.6895364
4224310,5.664655,0.7029773
4225310,5.673933,0.7375897
4226310,6.0753045,0.6802343
4227310,5.695464,0.6454095
4228310,5.319336,0.6397376
4229310,4.99185,0.6850833
4230310,5.262584,0.6683446
4231310,5.23126,0.68479055
4232310,5.586541,0.6799278
4233310,6.3227324,0.6133532
4234312,6.43892,0.64502454
4235310,6.6683145,0.5566262
4236310,6.454191,0.5993202
4237310,7.2407784,0.5737412
4238309,6.5202537,0.6237606
4239310,6.8747225,0.6184993
4240310,7.470413,0.5467214
4241310,7.3100486,0.5666285
4242310,7.4251738,0.578009
4243310,7.5435843,0.57542574
4244310,7.648533,0.60344845
4245310,7.822748,0.6026756
4246310,7.7150946,0.556437
4247310,7.832522,0.5974831
4248310,7.3120914,0.5520992
4249310,7.264745,0.58824444
4250310,8.379042,0.5703075
4251310,8.416287,0.5331533
4252310,7.5083256,0.6052184
4253311,7.89823,0.5725269
4254310,7.7463565,0.5860741
4255310,7.501373,0.6073745
4256310,7.887983,0.5800168
4257310,7.9342856,0.6084585
4258310,8.061128,0.6342146
4259310,7.627622,0.62510407
4260310,7.5001354,0.5581542
4261310,7.731726,0.5808046
4262310,6.3960767,0.6665176
4263310,6.081572,0.60847104
4264310,5.8813396,0.61852014
4265310,6.466426,0.58380586
4266311,7.0932183,0.64253443
4267310,7.1001563,0.6131545
4268311,7.867547,0.6187586
4269310,7.1185465,0.56114817
4270311,7.112499,0.5681521
4271310,6.655407,0.62031794
4272311,6.858775,0.6537431
4273310,5.947943,0.6117664
4274310,6.656509,0.6423061
4275312,6.1370354,0.6579578
4276309,7.474379,0.57749254
4277310,7.213093,0.5143644
4278309,7.2562013,0.59473383
4279310,6.8714123,0.6132167
4280310,6.781357,0.68349034
4281310,6.6095057,0.68761647
4282310,7.1425323,0.6714805
4283310,6.7319818,0.6959087
4284311,7.545005,0.52382326
4285310,7.0816784,0.60986584
4286310,6.7598805,0.64918023
4287311,6.8708653,0.57786447
4288310,6.723385,0.6399914
4289310,6.643966,0.6168461
4290310,6.31387,0.64113146
4291309,6.1633997,0.6116385
4292310,6.3604302,0.6273801
4293310,6.877675,0.66777515
4294309,6.7119927,0.6219767
4295310,7.893164,0.542846
4296309,7.772013,0.6095454
4297310,7.909075,0.61786985
4298310,7.254289,0.5570524
4299310,7.7364693,0.5395429
4300310,7.0615263,0.62096083
4301310,7.489335,0.61747557
4302312,7.6527863,0.50484043
4303309,7.6286807,0.52440906
4304310,8.110741,0.5649445
4305310,8.004174,0.5720061
4306310,7.3275366,0.5875402
4307310,7.652209,0.6566092
4308310,7.3071523,0.63982546
4309310,6.3286533,0.6216902
4310310,6.9263396,0.6944887
4311310,6.923726,0.6354796
4312310,7.4334106,0.59957564
4313310,7.577845,0.5618913
4314309,8.185221,0.5662884
4315310,7.700248,0.5013966
4316310,7.4123693,0.54338396
4317310,7.085466,0.625608
4318310,6.662216,0.64070165
4319310,6.5327945,0.6894408
4320310,7.0324974,0.6274381
4321310,7.1547256,0.6381049
4322311,7.6052246,0.6434606
4323309,7.2112117,0.63813573
4324310,7.747234,0.6241391
4325310,7.3557405,0.5214334
4326310,7.609969,0.54897404
4327310,7.816189,0.6324935
4328310,7.8352175,0.53163147
4329309,8.185145,0.6383788
4330310,7.835456,0.58665776
4331310,7.5445952,0.66301054
4332310,7.366307,0.6213155
4333310,7.73088,0.5855217
4334310,8.208667,0.6094389
4335310,7.4741154,0.6027786
4336310,7.3877296,0.58308333
4337311,7.2968903,0.6715048
4338309,7.4617505,0.59867245
4339309,6.6374784,0.59399754
4340310,6.791685,0.6146856
4341310,6.925444,0.6617912
4342310,6.991289,0.69409674
4343309,6.481283,0.63922465
4344310,7.5790877,0.6194558
4345310,8.135824,0.6479479
4346310,7.9406824,0.5342022
4347309,7.7211986,0.6365689
4348311,7.5211425,0.6172228
4349310,7.4218445,0.5697224
4350310,8.056625,0.6317664
4351309,7.6487503,0.51049906
4352310,7.719726,0.5538317
4353309,7.878961,0.6390517
4354310,6.7973394,0.56011516
4355310,7.505715,0.55557925
4356310,7.6498523,0.5848083
4357310,7.7623234,0.6066077
4358310,7.3071,0.6299689
4359310,6.988344,0.722162
4360311,7.3013015,0.594789
4361310,7.622358,0.6655846
4362310,7.0552516,0.5612631
4363310,6.6973543,0.60475904
4364310,7.198532,0.6154192
4365310,6.8684936,0.6071826
4366310,6.782143,0.65233743
4367309,7.415658,0.58662146
4368312,7.303978,0.59134394
4369310,6.31664,0.57372344
4370311,6.68852,0.6195445
4371310,6.785769,0.66059595
4372310,7.563036,0.64263326
4373310,7.2996078,0.679735
4374310,7.8155637,0.5574505
4375310,7.5661364,0.57522243
4376310,6.923278,0.6250196
4377312,6.5994315,0.5885131
4378310,6.947029,0.6285071
4379310,6.5566564,0.60292304
4380311,7.3186803,0.6329376
4381310,8.366159,0.6074152
4382310,7.560227,0.6440326
4383310,7.5023637,0.53693277
4384310,7.7896233,0.54647607
4385309,7.0517282,0.62325144
4386311,6.758387,0.60384625
4387310,7.040063,0.58152825
4388310,7.218753,0.5727984
4389313,7.5653872,0.56882125
4390310,7.67225,0.58910143
4391310,8.809797,0.57702076
4392311,8.463057,0.48294324
4393310,8.188931,0.5523922
4394312,7.896452,0.654888
4395309,7.703149,0.57203305
4396309,8.244258,0.57231635
4397311,7.9700937,0.5637883
4398311,8.713757,0.6076642
4399310,9.413467,0.59073204
4400310,8.904129,0.6016951
4401311,8.144983,0.5376539
4402310,8.220459,0.57165956
4403309,7.9934735,0.6037722
4404309,7.6716704,0.6330348
4405310,7.236267,0.64485973
4406311,8.623172,0.5777002
4407310,8.443028,0.6141337
4408310,8.092234,0.569342
4409310,7.652219,0.6149167
4410310,7.836203,0.55140144
4411310,8.022031,0.6016407
4412310,7.797112,0.5070832
4413310,8.276296,0.5470399
4414310,8.858233,0.6364864
4415309,8.37257,0.640782
4416310,7.77569,0.53680974
4417309,7.22854,0.66070175
4418310,7.0748863,0.606408
4419310,7.4387245,0.6141651
4420310,7.291561,0.6018478
4421310,7.5311966,0.61773074
4422309,7.493394,0.57434756
4423310,7.072789,0.69552344
4424310,7.3398695,0.5897666
4425310,7.2701097,0.5772265
4426310,7.386177,0.6532968
4427311,7.4696946,0.6545814
4428311,7.462864,0.5532167
4429310,8.104472,0.6731472
4430310,8.475242,0.55583805
4431310,7.946541,0.59267163
4432310,8.332529,0.57766163
4433310,7.9854536,0.5043074
4434310,7.9609323,0.5380911
4435310,7.356825,0.53273785
4436310,7.287848,0.5773488
4437311,6.9053493,0.5783901
4438309,6.9131,0.64525664
4439310,7.657058,0.54333746
4440310,7.0739555,0.61348534
4441310,6.97001,0.7008226
4442310,7.408924,0.5752526
4443311,6.9445553,0.59874886
4444311,7.0923114,0.59204745
4445310,7.8937697,0.55900145
4446309,7.9134192,0.6064246
4447310,7.9509845,0.6683825
4448310,7.6901436,0.564244
4449310,7.4373565,0.58483344
4450310,7.3321166,0.69988453
4451310,7.161473,0.5837872
4452310,7.3521695,0.59293705
4453309,7.785569,0.5624667
4454311,7.9794335,0.6081048
4455310,7.5126276,0.6149534
4456311,7.4428287,0.55381763
4457309,7.757791,0.6122302
4458310,8.431234,0.5692252
4459310,7.7031507,0.5984414
4460310,7.854838,0.57207197
4461310,8.319428,0.55946636
4462309,7.6621704,0.56946325
4463310,7.7998676,0.55229974
4464310,8.408407,0.6504472
4465311,8.475674,0.59425986
4466310,7.8211594,0.57461333
4467310,8.106258,0.60613036
4468310,7.6241746,0.55089986
4469311,7.995288,0.55380666
4470310,7.5732226,0.57869357
4471310,7.9601274,0.58964956
4472310,7.942153,0.6206799
4473311,8.019394,0.5621394
4474310,7.834047,0.614311
4475310,8.247763,0.6226765
4476311,8.584408,0.55662566
4477311,8.8907795,0.47507536
4478310,8.754127,0.54921633
4479310,9.032068,0.49980754
4480310,8.948593,0.51829356
4481311,8.346587,0.54385257
4482311,8.295716,0.5631336
4483310,7.5580673,0.6539281
4484311,7.505716,0.5780509
4485310,7.967146,0.61336696
4486309,7.933133,0.60914075
4487310,8.413306,0.5913251
4488310,8.65136,0.4983449
4489311,8.693876,0.56504047
4490310,8.110089,0.59410816
4491310,8.8661375,0.50866926
4492309,8.807285,0.55720925
4493310,8.223195,0.54608506
4494310,8.894563,0.5072511
4495311,8.566031,0.5965896
4496310,9.179399,0.55467284
4497310,8.4927,0.6169825
4498310,8.65059,0.47652116
4499310,7.6885557,0.6680194
4500310,8.066041,0.66448075
4501310,7.511565,0.6037237
4502310,8.146215,0.6017914
4503312,7.9866834,0.5838207
4504309,7.881813,0.59112555
4505310,8.092032,0.54650617
4506310,7.9397273,0.5265303
4507310,8.252059,0.57989514
4508310,8.250577,0.5661723
4509310,8.043675,0.5815519
4510310,7.215085,0.608167
4511310,8.149911,0.6137011
4512310,7.5574374,0.53574693
4513310,8.275534,0.6653029
4514310,8.839361,0.5873817
4515311,8.764044,0.6023647
4516311,8.531872,0.5537128
4517311,8.658246,0.5047684
4518310,8.727639,0.6431974
4519311,8.594071,0.5758945
4520310,8.548369,0.52337235
4521310,8.627376,0.5885751
4522310,8.384706,0.5947854
4523310,7.9396,0.59305924
4524310,7.781679,0.72970384
4525310,8.375454,0.5428894
4526310,7.7408886,0.5556899
4527310,8.472249,0.5534403
4528310,8.862998,0.5357053
4529311,8.475498,0.5240732
4530310,8.275615,0.5937123
4531311,8.774712,0.5595671
4532310,8.829328,0.47888437
4533311,8.665877,0.6045087
4534310,8.730727,0.5511005
4535310,8.95269,0.55598885
4536310,8.662364,0.49365753
4537310,7.365377,0.57245123
4538310,8.970839,0.5919734
4539310,8.402105,0.5197954
4540310,8.336274,0.60032433
4541310,8.085803,0.57194257
4542312,8.451551,0.63546413
4543310,7.650597,0.6396848
4544311,8.553332,0.55106837
4545310,8.863386,0.58579206
4546310,8.463099,0.5190265
4547310,9.313151,0.5232434
4548310,9.100606,0.4983909
4549310,8.205724,0.5969427
4550311,9.056856,0.55347574
4551310,9.178647,0.5524485
4552310,8.489908,0.5416007
4553311,8.98279,0.5822082
4554310,9.667993,0.5103072
4555310,8.202857,0.6180307
4556310,8.01646,0.5837567
