S-Vw4 EKF POSITION EVALUATION
======================================================================

RAW S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       24.0521         13.6775  39.1882      76.6651     282.0144
DURING BLACKOUT      200      195.8210        139.3802 228.6675     365.4434     369.9355
 AFTER BLACKOUT    75687      107.1229        112.8080 110.0086     129.4269     285.9047
        OVERALL   126477       74.0353         91.9877  89.1013     124.5696     369.9355

CLEANED S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       23.1758         13.6745  36.3500      69.8982     255.9123
DURING BLACKOUT      200      194.6076        138.9395 227.5516     364.9996     369.5014
 AFTER BLACKOUT    75687      106.5767        112.7490 109.3428     127.7763     269.1926
        OVERALL   126477       73.3560         90.4826  88.1197     123.7935     369.5014

GPS JUMP DETECTION
Threshold: 50.00 m
Detected jumps: 1210
GPS jump: 1453210 -> 1453310 ms; dt=0.100 s; distance=184.461 m
GPS jump: 1462210 -> 1462310 ms; dt=0.100 s; distance=196.235 m
GPS jump: 1471312 -> 1471410 ms; dt=0.098 s; distance=200.734 m
GPS jump: 1480310 -> 1480410 ms; dt=0.100 s; distance=72.426 m
GPS jump: 1489210 -> 1489310 ms; dt=0.100 s; distance=88.223 m
GPS jump: 1498210 -> 1498310 ms; dt=0.100 s; distance=192.104 m
GPS jump: 1507210 -> 1507310 ms; dt=0.100 s; distance=217.524 m
GPS jump: 1516210 -> 1516310 ms; dt=0.100 s; distance=223.024 m
GPS jump: 1525310 -> 1525410 ms; dt=0.100 s; distance=210.914 m
GPS jump: 1534310 -> 1534409 ms; dt=0.099 s; distance=143.617 m
GPS jump: 1552210 -> 1552310 ms; dt=0.100 s; distance=55.876 m
GPS jump: 1561310 -> 1561409 ms; dt=0.099 s; distance=133.356 m
GPS jump: 1570210 -> 1570310 ms; dt=0.100 s; distance=150.980 m
GPS jump: 1579210 -> 1579310 ms; dt=0.100 s; distance=151.052 m
GPS jump: 1588310 -> 1588410 ms; dt=0.100 s; distance=145.884 m
GPS jump: 1597210 -> 1597310 ms; dt=0.100 s; distance=117.661 m
GPS jump: 1606310 -> 1606409 ms; dt=0.099 s; distance=91.992 m
GPS jump: 1615209 -> 1615310 ms; dt=0.101 s; distance=166.936 m
GPS jump: 1624311 -> 1624410 ms; dt=0.099 s; distance=193.876 m
GPS jump: 1633210 -> 1633310 ms; dt=0.100 s; distance=176.905 m
GPS jump: 1642310 -> 1642410 ms; dt=0.100 s; distance=189.870 m
GPS jump: 1651210 -> 1651310 ms; dt=0.100 s; distance=190.761 m
GPS jump: 1660210 -> 1660310 ms; dt=0.100 s; distance=179.616 m
GPS jump: 1669311 -> 1669410 ms; dt=0.099 s; distance=145.930 m
GPS jump: 1687210 -> 1687310 ms; dt=0.100 s; distance=98.441 m
GPS jump: 1696209 -> 1696310 ms; dt=0.101 s; distance=167.140 m
GPS jump: 1705210 -> 1705310 ms; dt=0.100 s; distance=182.554 m
GPS jump: 1714210 -> 1714310 ms; dt=0.100 s; distance=176.485 m
GPS jump: 1723211 -> 1723310 ms; dt=0.099 s; distance=74.520 m
GPS jump: 1750310 -> 1750410 ms; dt=0.100 s; distance=85.649 m
GPS jump: 1759210 -> 1759310 ms; dt=0.100 s; distance=129.040 m
GPS jump: 1768210 -> 1768309 ms; dt=0.099 s; distance=173.291 m
GPS jump: 1777213 -> 1777310 ms; dt=0.097 s; distance=176.693 m
GPS jump: 1786210 -> 1786310 ms; dt=0.100 s; distance=185.882 m
GPS jump: 1795210 -> 1795313 ms; dt=0.103 s; distance=187.725 m
GPS jump: 1804210 -> 1804310 ms; dt=0.100 s; distance=173.130 m
GPS jump: 1813209 -> 1813309 ms; dt=0.100 s; distance=71.685 m
GPS jump: 1822210 -> 1822310 ms; dt=0.100 s; distance=58.209 m
GPS jump: 1831309 -> 1831410 ms; dt=0.101 s; distance=54.810 m
GPS jump: 1840309 -> 1840410 ms; dt=0.101 s; distance=153.504 m
GPS jump: 1849210 -> 1849311 ms; dt=0.101 s; distance=127.070 m
GPS jump: 1858210 -> 1858309 ms; dt=0.099 s; distance=120.092 m
GPS jump: 1867209 -> 1867310 ms; dt=0.101 s; distance=168.006 m
GPS jump: 1876210 -> 1876310 ms; dt=0.100 s; distance=159.015 m
GPS jump: 1885210 -> 1885310 ms; dt=0.100 s; distance=87.893 m
GPS jump: 1894210 -> 1894309 ms; dt=0.099 s; distance=130.148 m
GPS jump: 1903310 -> 1903409 ms; dt=0.099 s; distance=102.019 m
GPS jump: 1912210 -> 1912311 ms; dt=0.101 s; distance=112.926 m
GPS jump: 1921210 -> 1921309 ms; dt=0.099 s; distance=139.443 m
GPS jump: 1930310 -> 1930410 ms; dt=0.100 s; distance=145.380 m
GPS jump: 1939209 -> 1939309 ms; dt=0.100 s; distance=150.385 m
GPS jump: 1948211 -> 1948310 ms; dt=0.099 s; distance=149.968 m
GPS jump: 1957210 -> 1957310 ms; dt=0.100 s; distance=161.850 m
GPS jump: 1966209 -> 1966310 ms; dt=0.101 s; distance=160.583 m
GPS jump: 1975210 -> 1975310 ms; dt=0.100 s; distance=155.871 m
GPS jump: 1984210 -> 1984309 ms; dt=0.099 s; distance=67.868 m
GPS jump: 2002210 -> 2002310 ms; dt=0.100 s; distance=128.226 m
GPS jump: 2011210 -> 2011310 ms; dt=0.100 s; distance=162.402 m
GPS jump: 2020209 -> 2020310 ms; dt=0.101 s; distance=187.273 m
GPS jump: 2029310 -> 2029410 ms; dt=0.100 s; distance=192.560 m
GPS jump: 2038209 -> 2038310 ms; dt=0.101 s; distance=188.973 m
GPS jump: 2047210 -> 2047310 ms; dt=0.100 s; distance=179.601 m
GPS jump: 2056209 -> 2056310 ms; dt=0.101 s; distance=102.812 m
GPS jump: 2065210 -> 2065311 ms; dt=0.101 s; distance=72.975 m
GPS jump: 2074210 -> 2074310 ms; dt=0.100 s; distance=89.017 m
GPS jump: 2083210 -> 2083310 ms; dt=0.100 s; distance=82.481 m
GPS jump: 2092310 -> 2092409 ms; dt=0.099 s; distance=112.743 m
GPS jump: 2101209 -> 2101313 ms; dt=0.104 s; distance=135.062 m
GPS jump: 2110210 -> 2110310 ms; dt=0.100 s; distance=144.364 m
GPS jump: 2119310 -> 2119410 ms; dt=0.100 s; distance=104.833 m
GPS jump: 2137210 -> 2137310 ms; dt=0.100 s; distance=61.787 m
GPS jump: 2146210 -> 2146309 ms; dt=0.099 s; distance=97.632 m
GPS jump: 2155310 -> 2155410 ms; dt=0.100 s; distance=126.467 m
GPS jump: 2164210 -> 2164311 ms; dt=0.101 s; distance=106.983 m
GPS jump: 2173210 -> 2173310 ms; dt=0.100 s; distance=92.354 m
GPS jump: 2182211 -> 2182310 ms; dt=0.099 s; distance=125.581 m
GPS jump: 2191210 -> 2191310 ms; dt=0.100 s; distance=136.470 m
GPS jump: 2200211 -> 2200310 ms; dt=0.099 s; distance=136.721 m
GPS jump: 2209210 -> 2209311 ms; dt=0.101 s; distance=144.369 m
GPS jump: 2218210 -> 2218311 ms; dt=0.101 s; distance=112.680 m
GPS jump: 2245310 -> 2245410 ms; dt=0.100 s; distance=107.986 m
GPS jump: 2254210 -> 2254310 ms; dt=0.100 s; distance=132.892 m
GPS jump: 2263210 -> 2263310 ms; dt=0.100 s; distance=154.558 m
GPS jump: 2272209 -> 2272310 ms; dt=0.101 s; distance=174.488 m
GPS jump: 2281310 -> 2281410 ms; dt=0.100 s; distance=162.610 m
GPS jump: 2290210 -> 2290309 ms; dt=0.099 s; distance=165.911 m
GPS jump: 2299210 -> 2299311 ms; dt=0.101 s; distance=154.249 m
GPS jump: 2308310 -> 2308410 ms; dt=0.100 s; distance=132.238 m
GPS jump: 2326210 -> 2326311 ms; dt=0.101 s; distance=86.432 m
GPS jump: 2335210 -> 2335309 ms; dt=0.099 s; distance=149.279 m
GPS jump: 2344310 -> 2344410 ms; dt=0.100 s; distance=165.661 m
GPS jump: 2353209 -> 2353310 ms; dt=0.101 s; distance=167.819 m
GPS jump: 2362210 -> 2362310 ms; dt=0.100 s; distance=173.873 m
GPS jump: 2371209 -> 2371310 ms; dt=0.101 s; distance=193.948 m
GPS jump: 2380209 -> 2380311 ms; dt=0.102 s; distance=192.955 m
GPS jump: 2389210 -> 2389309 ms; dt=0.099 s; distance=186.252 m
GPS jump: 2398209 -> 2398310 ms; dt=0.101 s; distance=111.048 m
GPS jump: 2407310 -> 2407410 ms; dt=0.100 s; distance=180.261 m
GPS jump: 2416210 -> 2416311 ms; dt=0.101 s; distance=187.157 m
GPS jump: 2425209 -> 2425311 ms; dt=0.102 s; distance=183.431 m
GPS jump: 2434210 -> 2434310 ms; dt=0.100 s; distance=151.851 m
GPS jump: 2443310 -> 2443410 ms; dt=0.100 s; distance=85.894 m
GPS jump: 2452309 -> 2452409 ms; dt=0.100 s; distance=157.589 m
GPS jump: 2461209 -> 2461311 ms; dt=0.102 s; distance=189.796 m
GPS jump: 2470209 -> 2470310 ms; dt=0.101 s; distance=199.149 m
GPS jump: 2479210 -> 2479309 ms; dt=0.099 s; distance=199.162 m
GPS jump: 2488210 -> 2488310 ms; dt=0.100 s; distance=198.130 m
GPS jump: 2497210 -> 2497311 ms; dt=0.101 s; distance=194.409 m
GPS jump: 2506309 -> 2506410 ms; dt=0.101 s; distance=112.207 m
GPS jump: 2515210 -> 2515310 ms; dt=0.100 s; distance=110.099 m
GPS jump: 2524209 -> 2524310 ms; dt=0.101 s; distance=163.574 m
GPS jump: 2533210 -> 2533310 ms; dt=0.100 s; distance=178.141 m
GPS jump: 2542310 -> 2542410 ms; dt=0.100 s; distance=196.681 m
GPS jump: 2551210 -> 2551311 ms; dt=0.101 s; distance=202.392 m
GPS jump: 2560309 -> 2560410 ms; dt=0.101 s; distance=197.280 m
GPS jump: 2569210 -> 2569310 ms; dt=0.100 s; distance=174.468 m
GPS jump: 2578210 -> 2578309 ms; dt=0.099 s; distance=127.922 m
GPS jump: 2587311 -> 2587410 ms; dt=0.099 s; distance=119.116 m
GPS jump: 2596210 -> 2596310 ms; dt=0.100 s; distance=174.516 m
GPS jump: 2605210 -> 2605310 ms; dt=0.100 s; distance=184.596 m
GPS jump: 2614310 -> 2614409 ms; dt=0.099 s; distance=172.883 m
GPS jump: 2623310 -> 2623410 ms; dt=0.100 s; distance=174.812 m
GPS jump: 2632310 -> 2632410 ms; dt=0.100 s; distance=157.754 m
GPS jump: 2641209 -> 2641309 ms; dt=0.100 s; distance=175.108 m
GPS jump: 2650310 -> 2650411 ms; dt=0.101 s; distance=167.979 m
GPS jump: 2659310 -> 2659409 ms; dt=0.099 s; distance=150.570 m
GPS jump: 2668310 -> 2668410 ms; dt=0.100 s; distance=131.183 m
GPS jump: 2677309 -> 2677410 ms; dt=0.101 s; distance=106.283 m
GPS jump: 2686210 -> 2686310 ms; dt=0.100 s; distance=147.553 m
GPS jump: 2695210 -> 2695310 ms; dt=0.100 s; distance=165.903 m
GPS jump: 2704211 -> 2704310 ms; dt=0.099 s; distance=174.048 m
GPS jump: 2713210 -> 2713310 ms; dt=0.100 s; distance=185.249 m
GPS jump: 2722211 -> 2722310 ms; dt=0.099 s; distance=200.527 m
GPS jump: 2731210 -> 2731311 ms; dt=0.101 s; distance=182.347 m
GPS jump: 2740210 -> 2740314 ms; dt=0.104 s; distance=218.760 m
GPS jump: 2749210 -> 2749310 ms; dt=0.100 s; distance=211.662 m
GPS jump: 2758211 -> 2758310 ms; dt=0.099 s; distance=203.016 m
GPS jump: 2767210 -> 2767311 ms; dt=0.101 s; distance=207.338 m
GPS jump: 2776210 -> 2776310 ms; dt=0.100 s; distance=213.386 m
GPS jump: 2785209 -> 2785310 ms; dt=0.101 s; distance=221.072 m
GPS jump: 2794211 -> 2794311 ms; dt=0.100 s; distance=219.836 m
GPS jump: 2803310 -> 2803410 ms; dt=0.100 s; distance=161.441 m
GPS jump: 2812310 -> 2812410 ms; dt=0.100 s; distance=86.925 m
GPS jump: 2821210 -> 2821310 ms; dt=0.100 s; distance=151.906 m
GPS jump: 2830210 -> 2830310 ms; dt=0.100 s; distance=181.809 m
GPS jump: 2839311 -> 2839410 ms; dt=0.099 s; distance=176.089 m
GPS jump: 2848210 -> 2848311 ms; dt=0.101 s; distance=166.899 m
GPS jump: 2857210 -> 2857310 ms; dt=0.100 s; distance=171.903 m
GPS jump: 2866210 -> 2866310 ms; dt=0.100 s; distance=186.007 m
GPS jump: 2875210 -> 2875310 ms; dt=0.100 s; distance=185.859 m
GPS jump: 2884210 -> 2884310 ms; dt=0.100 s; distance=196.323 m
GPS jump: 2893310 -> 2893410 ms; dt=0.100 s; distance=202.059 m
GPS jump: 2902310 -> 2902410 ms; dt=0.100 s; distance=219.580 m
GPS jump: 2911210 -> 2911310 ms; dt=0.100 s; distance=226.866 m
